106
qstr_save save
qstr_/debug /debug
qstr_/hit /hit
qstr_Hitler_tekrardan_akt Hitler_tekrardan_aktif!
qstr_Hitler_kapatildi. Hitler_kapatildi.
qstr_/t_ /t_
qstr_[{s0}]_{s1} [{s0}]_{s1}
qstr_/nlr /nlr
qstr_NLR_Acildi! NLR_Acildi!
qstr_NLR_Kapandi. NLR_Kapandi.
qstr_http://127.0.0.1/mes http://127.0.0.1/message_sent<{reg10}<{reg11}<{reg12}<{s0}<{reg13}
qstr_WSE2 WSE2
qstr_Hesabiniz_bos. Hesabiniz_bos.
qstr_Hesabinizdan_{reg0}_ Hesabinizdan_{reg0}_dinar_cekildi._Hesabiniz:_{reg1}_dinar.
qstr_Hesabiniza_aktaracak Hesabiniza_aktaracak_paraniz_kalmadi.
qstr_Hesabiniza_{reg0}_di Hesabiniza_{reg0}_dinar_aktarildi._Hesabiniz:_{reg1}_dinar.
qstr_{reg0}<{reg1} {reg0}<{reg1}
qstr_{s0}<{reg2} {s0}<{reg2}
qstr_http://127.0.0.1/sav http://127.0.0.1/save_chest<{s0}
qstr_http://127.0.0.1/rea http://127.0.0.1/read_letter<{reg0}<{reg1}
qstr_read_letter_request_ read_letter_request_failed.
qstr_http://127.0.0.1/loa http://127.0.0.1/load_chest<{reg0}<{reg1}<0<{reg2}
qstr_http://127.0.0.1/load http://127.0.0.1/load_chest<{reg1}<{reg2}<{reg3}<{reg4}
qstr_pw_item_chest_a pw_item_chest_a
qstr_pw_item_chest_b pw_item_chest_b
qstr_pw_cart_a pw_cart_a
qstr_pw_cart_b pw_cart_b
qstr_pw_wheelbarrow pw_wheelbarrow
qstr_pw_hand_cart pw_hand_cart
qstr_pw_back_basket pw_back_basket
qstr_pw_back_box pw_back_box
qstr_pw_horse_pack pw_horse_pack
qstr_cm_civ_cart cm_civ_cart
qstr_cm_war_cart cm_war_cart
qstr_Chest__{s0}_{reg2}__ Chest_({s0},_{reg2})_loaded_with_{reg3}_items_inside.
qstr_load_chest_request_f load_chest_request_failed.
qstr_load_faction_request load_faction_request_failed.
qstr_{reg0} {reg0}
qstr_http://127.0.0.1/load_ http://127.0.0.1/load_admin<{reg1}
qstr_load_player_request_ load_player_request_failed.
qstr_load_admin_request_f load_admin_request_failed.
qstr_http://127.0.0.1/spe http://127.0.0.1/special_string<{reg0}<welcome<0
qstr_load_gear_request_fa load_gear_request_failed.
qstr_{reg1} {reg1}
qstr_http://127.0.0.1/spec http://127.0.0.1/special_string<{reg1}<{s1}<{reg2}
qstr_special_string_reque special_string_request_failed.
qstr_{s0} {s0}
qstr_Your_registered_name Your_registered_name_is:_{s1}
qstr_Cok_Aciktin! Cok_Aciktin!
qstr_http://127.0.0.1/pin http://127.0.0.1/ping_tcp
qstr_ping_tcp_request_fai ping_tcp_request_failed.
qstr_{reg2} {reg2}
qstr_No_training_center_n No_training_center_nearby.
qstr_Army_relation_to_com Army_relation_to_commoners_is_set_to_passive.
qstr_Army_relation_to_comm Army_relation_to_commoners_is_set_to_aggressive.
qstr_http://127.0.0.1/set http://127.0.0.1/set_equipment<{reg2}<{s0}<{reg3}<{reg4}<{reg5}<{reg6}<{reg7}<{reg8}<{reg9}<{reg10}
qstr_Atın_bağı_çözü Atın_bağı_çözüldü.
qstr_At_bağlandı. At_bağlandı.
qstr_Bu_at_başkasına_ai Bu_at_başkasına_ait.
qstr_[{s1}]_whispers_[{s2 [{s1}]_whispers_[{s2}]_{s0}
qstr_[{s2}]_whispers:_{s1 [{s2}]_whispers:_{s1}
qstr_[{s2}]_whispers_[{s3 [{s2}]_whispers_[{s3}]_{s1}
qstr__>_[{s3}] ->_[{s3}]
qstr_message_sent_request message_sent_request_failed.
qstr_Applied_your_equipme Applied_your_equipment_to_the_troop_{s0}._Cost_of_recruiting:_{reg0}_dinars_each.
qstr_set_equipment_reques set_equipment_request_failed.
